,ABCB1,ABI1,ABL1,ABL2,ACKR3,ACSL3,ACVR1,ACVR2A,AFDN,AFF1,AFF3,AFF4,AJUBA,AKT1,AKT2,AKT3,ALB,ALK,AMER1,APC,APOBEC3B,AR,ARAF,ARHGAP26,ARHGAP35,ARHGAP5,ARHGEF10,ARHGEF10L,ARHGEF12,ARID1A,ARID1B,ARID2,ARNT,ASPSCR1,ASXL1,ASXL2,ATF1,ATF7IP,ATG7,ATIC,ATM,ATP1A1,ATP2B3,ATR,ATRX,AXIN1,AXIN2,B2M,BAP1,BARD1,BAX,BCL10,BCL11A,BCL11B,BCL2,BCL2L12,BCL3,BCL6,BCL7A,BCL9,BCL9L,BCLAF1,BCOR,BCORL1,BCR,BIRC3,BIRC6,BLM,BMPR1A,BMPR2,BRAF,BRCA1,BRCA2,BRD3,BRD4,BRD7,BRIP1,BTG1,BTK,BUB1B,CACNA1D,CALR,CAMTA1,CANT1,CARD11,CARS1,CASP8,CASZ1,CBFA2T3,CBFB,CBL,CBLB,CBLC,CCDC6,CCNB1IP1,CCND1,CCND2,CCND3,CCNE1,CCR7,CD274,CD58,CD74,CD79A,CD79B,CDC73,CDH1,CDH10,CDH11,CDK12,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2C,CDX2,CEBPA,CEP43,CHCHD7,CHD2,CHD4,CHEK2,CIC,CIITA,CLIP1,CLTC,CLTCL1,CMTR2,CNBP,CNOT3,CNTRL,COL1A1,COL2A1,CPEB3,CR1,CREB1,CREB3L1,CREB3L2,CREBBP,CRLF2,CRNKL1,CRTC1,CRTC3,CSF3R,CTCF,CTNNB1,CUL3,CUX1,CXCR4,CYLD,CYP2C8,CYSLTR2,DAXX,DAZAP1,DCAF12L2,DCC,DCSTAMP,DCTN1,DDB2,DDIT3,DDR2,DDX10,DDX3X,DDX5,DDX6,DEK,DGCR8,DHX9,DICER1,DIS3,DNAJB1,DNM2,DNMT3A,DOT1L,DROSHA,DTX1,DUSP16,EBF1,EFTUD2,EGFR,EGR2,EHD2,EIF1AX,EIF3E,EIF4A2,ELF3,ELF4,ELK4,ELL,ELN,EML4,ENPEP,EP300,EPAS1,EPHA2,EPHA3,EPHA7,EPS15,ERBB2,ERBB3,ERBB4,ERC1,ERCC2,ERCC3,ERCC4,ERCC5,ERG,ESR1,ESRRA,ETNK1,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT1,EXT2,EZH2,EZR,FAM135B,FAM174B,FAM186A,FANCA,FANCC,FANCD2,FANCE,FANCF,FANCG,FAS,FAT1,FAT2,FAT3,FAT4,FBLN1,FBN2,FBXO11,FBXW7,FCGR2B,FCRL4,FES,FEV,FGD5,FGFR1,FGFR2,FGFR3,FGFR4,FH,FHIT,FIP1L1,FLCN,FLI1,FLT3,FLT4,FN1,FOXA1,FOXA2,FOXD4L1,FOXL2,FOXO1,FOXO3,FOXO4,FOXP1,FSTL3,FUBP1,FUS,GAS7,GATA1,GATA2,GATA3,GLI1,GMPS,GNA11,GNA13,GNAI2,GNAQ,GNAS,GOLGA5,GOPC,GPC3,GPHN,GRIN2A,GTF2I,H3-3A,H3-3B,H3C2,H4C9,HERC2,HERPUD1,HEY1,HGF,HIF1A,HIP1,HLA-A,HLA-B,HLF,HMGA1,HMGA2,HNF1A,HNRNPA2B1,HOOK3,HOXA11,HOXA13,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,HRAS,HSP90AA1,HSP90AB1,HSPG2,HTRA2,ID3,IDH1,IDH2,IFNAR1,IFNGR1,IKBKB,IKZF1,IKZF3,IL2,IL21R,IL6ST,IL7R,ING1,INO80,IRAK1,IRF1,IRF4,IRS4,ITK,JAK1,JAK2,JAK3,JUN,KAT6A,KAT6B,KCNJ5,KDM3B,KDM5A,KDM5C,KDM6A,KDR,KDSR,KEAP1,KEL,KIF5B,KIFC1,KIT,KLF4,KLF5,KLF6,KLHL36,KLHL6,KLK2,KMT2A,KMT2B,KMT2C,KMT2D,KNL1,KRAS,KTN1,LASP1,LATS1,LATS2,LCK,LDB1,LEF1,LIFR,LMNA,LMO1,LMO2,LOX,LPAR4,LPP,LRIG3,LRP1B,LTB,LY75-CD302,LYL1,LZTR1,MAF,MAFB,MALT1,MAML2,MAP2,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAPK1,MARK2,MAX,MB21D2,MCM3AP,MDM2,MDM4,MECOM,MED12,MEF2B,MEN1,MET,MGA,MITF,MLF1,MLH1,MLLT1,MLLT10,MLLT11,MLLT3,MLLT6,MN1,MPL,MRTFA,MSH2,MSH6,MSI2,MSN,MTCP1,MTOR,MUC1,MUTYH,MYB,MYC,MYCL,MYCN,MYD88,MYH11,MYH9,MYO5A,MYOD1,NAB2,NBEA,NBN,NCOA1,NCOA2,NCOA4,NCOR1,NCOR2,NDRG1,NEFH,NF1,NF2,NFATC2,NFE2L2,NFIB,NFKB2,NFKBIA,NFKBIE,NIN,NIPBL,NKTR,NKX2-1,NONO,NOTCH1,NOTCH2,NPEPPS,NPM1,NPRL2,NR4A3,NRAS,NRG1,NRK,NRP1,NSD1,NSD2,NSD3,NT5C2,NT5C3A,NTRK1,NTRK3,NUMA1,NUP214,NUP98,NUTM1,NUTM2B,NUTM2D,NXF1,OLIG2,P2RY8,PABPC1,PAFAH1B2,PAK2,PALB2,PARP4,PATZ1,PAX3,PAX5,PAX7,PAX8,PBRM1,PBX1,PCBP1,PCDH17,PCM1,PCMTD1,PDCD1LG2,PDE4DIP,PDGFB,PDGFRA,PDGFRB,PDPR,PEG3,PER1,PHF6,PHOX2B,PICALM,PIK3CA,PIK3CB,PIK3R1,PIM1,PLAG1,PLCB4,PLCG1,PML,PMS2,POLD1,POLE,POLQ,POT1,POU2AF1,POU2F2,POU5F1,PPARG,PPFIBP1,PPM1D,PPP2R1A,PPP3CA,PPP6C,PPT2,PRCC,PRDM1,PRDM16,PRDM2,PREX2,PRF1,PRKACA,PRKAR1A,PRKCB,PRKCD,PRKD2,PRR14,PRRX1,PSIP1,PTCH1,PTEN,PTK6,PTMA,PTPN11,PTPN13,PTPN14,PTPN6,PTPRB,PTPRC,PTPRD,PTPRK,PTPRT,QKI,RABEP1,RAC1,RAD21,RAD51B,RAF1,RALGDS,RANBP2,RAP1GDS1,RARA,RASA1,RASA2,RB1,RBFOX1,RBFOX2,RBM10,RBM15,RBM38,RBM39,RECQL4,REL,RELA,RET,RGL3,RGPD3,RGS7,RHOA,RHOH,RHPN2,RIPK1,RMI2,RNF213,RNF43,RNF6,ROS1,RPL10,RPL22,RPL5,RPN1,RPS3A,RPS6KA3,RRAGC,RRAS2,RSPH10B2,RSPO2,RSPO3,RUNX1,RUNX1T1,RXRA,SALL4,SATB1,SBDS,SDC4,SDHA,SDHAF2,SDHB,SDHC,SDHD,SEPTIN9,SET,SETBP1,SETD1B,SETD2,SETDB1,SF3B1,SFMBT2,SFPQ,SFRP4,SGK1,SH2B3,SH3GL1,SIN3A,SIRPA,SIX1,SLC34A2,SLC45A3,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCD1,SMARCE1,SMC1A,SMO,SND1,SOCS1,SOHLH2,SOS1,SOX17,SOX2,SOX21,SOX9,SP140,SPEN,SPOP,SRC,SRGAP3,SRSF2,SRSF3,SS18,SS18L1,SSX1,SSX2,SSX4,STAG2,STAT3,STAT5B,STAT6,STIL,STK11,STRN,SUFU,SUSD2,SUZ12,SYK,TAF15,TAL1,TAL2,TBL1XR1,TBX3,TCEA1,TCF12,TCF3,TCF4,TCF7L2,TCIRG1,TCL1A,TEC,TENT5C,TERT,TET1,TET2,TFAP4,TFE3,TFEB,TFG,TGFBR2,TGIF1,TLL1,TLX1,TLX3,TMEM127,TMPRSS2,TNC,TNFAIP3,TNFRSF14,TNFRSF17,TOP1,TOP2A,TP53,TP63,TPM3,TPM4,TPR,TRAF3,TRAF7,TRIM24,TRIM27,TRIM33,TRIM49C,TRIP11,TRRAP,TSC1,TSC2,TSHR,U2AF1,U2AF2,UBE2A,UBE2D2,UBR5,UGT2B17,USP44,USP6,USP8,USP9X,VAV1,VHL,WAS,WDCP,WDR45,WIF1,WNK2,WNK4,WRN,WT1,WWTR1,XPA,XPC,XPO1,YWHAE,ZBTB16,ZBTB20,ZBTB7B,ZCRB1,ZEB1,ZFHX3,ZFP36L1,ZFX,ZMYM2,ZNF148,ZNF165,ZNF208,ZNF331,ZNF384,ZNF429,ZNF521,ZNF626,ZNF680,ZNF721,ZNF780A,ZNF814,ZNF93,ZNRF3,ZRSR2,ZXDB
SIDM00046,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,-1.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,0.0,1.0,-0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.0,-0.0,1.0,-1.0,1.0,0.0,-1.0,-0.0,0.0,-2.0,-0.0,-0.0,0.0,1.0,1.0,1.0,-0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-1.0,1.0,1.0,0.0,0.0,-0.0,1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,2.0,-1.0,1.0,1.0,1.0,1.0,-0.0,-2.0,-0.0,-2.0,0.0,-1.0,-1.0,-0.0,-0.0,-0.0,1.0,-1.0,-0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.0,-1.0,2.0,-1.0,0.0,1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,0.0,0.0,-1.0,-0.0,0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-0.0,-1.0,3.0,-0.0,-0.0,-1.0,-0.0,2.0,-2.0,0.0,-0.0,-1.0,-0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.0,1.0,-1.0,-1.0,-0.0,-0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,1.0,-1.0,0.0,-1.0,-0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,-0.0,1.0,-1.0,-0.0,1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,0.0,-2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,-1.0,-0.0,2.0,0.0,2.0,0.0,2.0,-0.0,-0.0,-0.0,-0.0,-1.0,1.0,1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,2.0,1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-0.0,-1.0,1.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,1.0,-0.0,1.0,-0.0,-1.0,-1.0,1.0,-1.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-2.0,0.0,1.0,-0.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,-1.0,-0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.0,0.0,-0.0,1.0,-0.0,-1.0,0.0,0.0,2.0,1.0,-1.0,-0.0,2.0,-0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,1.0,-0.0,-1.0,0.0,1.0,1.0,-0.0,0.0,1.0,-1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.0,-0.0,-1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-1.0,-1.0,-1.0,-0.0,-1.0,2.0,1.0,-0.0,1.0,-1.0,-1.0,-1.0,0.0,-0.0,-0.0,-1.0,0.0,-0.0,-1.0,-0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,-0.0,-1.0,-1.0,1.0,-0.0,-0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,0.0,0.0,-0.0,2.0,-1.0,1.0,1.0,-1.0,-0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,-1.0,-0.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.0,-2.0,-1.0,-1.0,1.0,-1.0,-0.0,-1.0,0.0,-0.0,1.0,0.0,-2.0,-0.0,1.0,-1.0,-1.0,2.0,-0.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.0,-1.0,1.0,1.0,0.0,-0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,0.0,-1.0,-0.0,-0.0,-2.0,1.0,-1.0,-0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,-0.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-2.0,-1.0,2.0,-0.0,-0.0,-1.0,-1.0,0.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.0,-1.0,1.0,0.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,-0.0,-0.0,-1.0,-0.0,1.0,1.0,0.0,-0.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,-0.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-0.0,-1.0,1.0,-1.0,0.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,1.0,2.0,-1.0,-0.0,1.0,0.0,1.0,-0.0,-1.0,-0.0,-2.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.0,0.0,-1.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-0.0,-1.0,-0.0,1.0,-1.0,0.0,-0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.0,-0.0,-0.0
SIDM00047,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,1.0,1.0,0.0,-0.0,-0.0,2.0,-0.0,0.0,-0.0,0.0,2.0,0.0,1.0,1.0,-0.0,-0.0,-1.0,2.0,1.0,-0.0,-0.0,-1.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.0,0.0,0.0,2.0,1.0,-0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0,-0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,0.0,-0.0,0.0,2.0,-0.0,-1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,1.0,1.0,1.0,0.0,2.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,1.0,0.0,-0.0,1.0,-2.0,1.0,0.0,-0.0,-0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.0,-0.0,0.0,-1.0,-0.0,-0.0,2.0,0.0,2.0,-1.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.0,-0.0,0.0,0.0,1.0,-0.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,3.0,0.0,-0.0,0.0,0.0,0.0,2.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,-1.0,-0.0,0.0,0.0,1.0,-1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,-0.0,0.0,1.0,0.0,0.0,-0.0,-1.0,0.0,-0.0,-0.0,2.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.0,1.0,-0.0,-1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-1.0,1.0,1.0,-0.0,2.0,2.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-1.0,0.0,0.0,2.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,2.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.0,0.0,-1.0,2.0,0.0,0.0,2.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2.0,2.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.0,0.0,2.0,-0.0,0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-1.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-1.0,1.0,0.0,3.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,0.0,0.0,-2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,2.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-1.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0
